Data Table for Daily Death Trends - South Dakota
Date generated: Mon Nov 15 2021 12:12:56 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
South Dakota,Jan 18 2021,11
South Dakota,Jan 17 2021,23
South Dakota,Jan 16 2021,4
South Dakota,Jan 15 2021,15
South Dakota,Jan 14 2021,10
South Dakota,Jan 13 2021,19
South Dakota,Jan 12 2021,0
South Dakota,Jan 11 2021,0
South Dakota,Jan 10 2021,15
South Dakota,Jan  9 2021,14
South Dakota,Jan  8 2021,12
South Dakota,Jan  7 2021,25
South Dakota,Jan  6 2021,6
South Dakota,Jan  5 2021,0
South Dakota,Jan  4 2021,0
South Dakota,Jan  3 2021,12
South Dakota,Jan  2 2021,13
South Dakota,Jan  1 2021,0
South Dakota,Dec 31 2020,24
South Dakota,Dec 30 2020,18
South Dakota,Dec 29 2020,0
South Dakota,Dec 28 2020,0
South Dakota,Dec 27 2020,0
South Dakota,Dec 26 2020,16
South Dakota,Dec 25 2020,0
South Dakota,Dec 24 2020,41
South Dakota,Dec 23 2020,8
South Dakota,Dec 22 2020,0
South Dakota,Dec 21 2020,20
South Dakota,Dec 20 2020,11
South Dakota,Dec 19 2020,21
South Dakota,Dec 18 2020,28
South Dakota,Dec 17 2020,1
South Dakota,Dec 16 2020,39
South Dakota,Dec 15 2020,2
South Dakota,Dec 14 2020,0
South Dakota,Dec 13 2020,16
South Dakota,Dec 12 2020,33
South Dakota,Dec 11 2020,33
South Dakota,Dec 10 2020,30
South Dakota,Dec  9 2020,36
South Dakota,Dec  8 2020,1
South Dakota,Dec  7 2020,0
South Dakota,Dec  6 2020,19
South Dakota,Dec  5 2020,27
South Dakota,Dec  4 2020,31
South Dakota,Dec  3 2020,38
South Dakota,Dec  2 2020,47
South Dakota,Dec  1 2020,2
South Dakota,Nov 30 2020,3
South Dakota,Nov 29 2020,1
South Dakota,Nov 28 2020,54
South Dakota,Nov 27 2020,39
South Dakota,Nov 26 2020,0
South Dakota,Nov 25 2020,28
South Dakota,Nov 24 2020,2
South Dakota,Nov 23 2020,0
South Dakota,Nov 22 2020,42
South Dakota,Nov 21 2020,36
South Dakota,Nov 20 2020,36
South Dakota,Nov 19 2020,31
South Dakota,Nov 18 2020,30
South Dakota,Nov 17 2020,0
South Dakota,Nov 16 2020,0
South Dakota,Nov 15 2020,23
South Dakota,Nov 14 2020,53
South Dakota,Nov 13 2020,1
South Dakota,Nov 12 2020,0
South Dakota,Nov 11 2020,27
South Dakota,Nov 10 2020,3
South Dakota,Nov  9 2020,1
South Dakota,Nov  8 2020,13
South Dakota,Nov  7 2020,13
South Dakota,Nov  6 2020,28
South Dakota,Nov  5 2020,22
South Dakota,Nov  4 2020,14
South Dakota,Nov  3 2020,8
South Dakota,Nov  2 2020,1
South Dakota,Nov  1 2020,12
South Dakota,Oct 31 2020,10
South Dakota,Oct 30 2020,12
South Dakota,Oct 29 2020,19
South Dakota,Oct 28 2020,9
South Dakota,Oct 27 2020,0
South Dakota,Oct 26 2020,0
South Dakota,Oct 25 2020,9
South Dakota,Oct 24 2020,10
South Dakota,Oct 23 2020,9
South Dakota,Oct 22 2020,14
South Dakota,Oct 21 2020,3
South Dakota,Oct 20 2020,7
South Dakota,Oct 19 2020,0
South Dakota,Oct 18 2020,8
South Dakota,Oct 17 2020,8
South Dakota,Oct 16 2020,3
South Dakota,Oct 15 2020,8
South Dakota,Oct 14 2020,3
South Dakota,Oct 13 2020,5
South Dakota,Oct 12 2020,2
South Dakota,Oct 11 2020,0
South Dakota,Oct 10 2020,7
South Dakota,Oct  9 2020,5
South Dakota,Oct  8 2020,14
South Dakota,Oct  7 2020,12
South Dakota,Oct  6 2020,0
South Dakota,Oct  5 2020,0
South Dakota,Oct  4 2020,0
South Dakota,Oct  3 2020,11
South Dakota,Oct  2 2020,1
South Dakota,Oct  1 2020,13
South Dakota,Sep 30 2020,0
South Dakota,Sep 29 2020,5
South Dakota,Sep 28 2020,0
South Dakota,Sep 27 2020,0
South Dakota,Sep 26 2020,2
South Dakota,Sep 25 2020,6
South Dakota,Sep 24 2020,8
South Dakota,Sep 23 2020,0
South Dakota,Sep 22 2020,0
South Dakota,Sep 21 2020,0
South Dakota,Sep 20 2020,2
South Dakota,Sep 19 2020,2
South Dakota,Sep 18 2020,5
South Dakota,Sep 17 2020,1
South Dakota,Sep 16 2020,8
South Dakota,Sep 15 2020,0
South Dakota,Sep 14 2020,0
South Dakota,Sep 13 2020,1
South Dakota,Sep 12 2020,6
South Dakota,Sep 11 2020,0
South Dakota,Sep 10 2020,4
South Dakota,Sep  9 2020,0
South Dakota,Sep  8 2020,0
South Dakota,Sep  7 2020,0
South Dakota,Sep  6 2020,0
South Dakota,Sep  5 2020,3
South Dakota,Sep  4 2020,1
South Dakota,Sep  3 2020,0
South Dakota,Sep  2 2020,2
South Dakota,Sep  1 2020,0
South Dakota,Aug 31 2020,0
South Dakota,Aug 30 2020,0
South Dakota,Aug 29 2020,2
South Dakota,Aug 28 2020,3
South Dakota,Aug 27 2020,0
South Dakota,Aug 26 2020,1
South Dakota,Aug 25 2020,0
South Dakota,Aug 24 2020,0
South Dakota,Aug 23 2020,1
South Dakota,Aug 22 2020,1
South Dakota,Aug 21 2020,2
South Dakota,Aug 20 2020,2
South Dakota,Aug 19 2020,1
South Dakota,Aug 18 2020,1
South Dakota,Aug 17 2020,0
South Dakota,Aug 16 2020,1
South Dakota,Aug 15 2020,2
South Dakota,Aug 14 2020,2
South Dakota,Aug 13 2020,1
South Dakota,Aug 12 2020,1
South Dakota,Aug 11 2020,0
South Dakota,Aug 10 2020,0
South Dakota,Aug  9 2020,0
South Dakota,Aug  8 2020,2
South Dakota,Aug  7 2020,3
South Dakota,Aug  6 2020,4
South Dakota,Aug  5 2020,1
South Dakota,Aug  4 2020,1
South Dakota,Aug  3 2020,0
South Dakota,Aug  2 2020,1
South Dakota,Aug  1 2020,4
South Dakota,Jul 31 2020,1
South Dakota,Jul 30 2020,0
South Dakota,Jul 29 2020,6
South Dakota,Jul 28 2020,0
South Dakota,Jul 27 2020,0
South Dakota,Jul 26 2020,1
South Dakota,Jul 25 2020,0
South Dakota,Jul 24 2020,1
South Dakota,Jul 23 2020,2
South Dakota,Jul 22 2020,1
South Dakota,Jul 21 2020,0
South Dakota,Jul 20 2020,0
South Dakota,Jul 19 2020,2
South Dakota,Jul 18 2020,0
South Dakota,Jul 17 2020,1
South Dakota,Jul 16 2020,4
South Dakota,Jul 15 2020,2
South Dakota,Jul 14 2020,0
South Dakota,Jul 13 2020,0
South Dakota,Jul 12 2020,0
South Dakota,Jul 11 2020,2
South Dakota,Jul 10 2020,6
South Dakota,Jul  9 2020,3
South Dakota,Jul  8 2020,0
South Dakota,Jul  7 2020,1
South Dakota,Jul  6 2020,0
South Dakota,Jul  5 2020,0
South Dakota,Jul  4 2020,0
South Dakota,Jul  3 2020,0
South Dakota,Jul  2 2020,4
South Dakota,Jul  1 2020,2
South Dakota,Jun 30 2020,0
South Dakota,Jun 29 2020,0
South Dakota,Jun 28 2020,0
South Dakota,Jun 27 2020,3
South Dakota,Jun 26 2020,1
South Dakota,Jun 25 2020,3
South Dakota,Jun 24 2020,1
South Dakota,Jun 23 2020,2
South Dakota,Jun 22 2020,0
South Dakota,Jun 21 2020,0
South Dakota,Jun 20 2020,0
South Dakota,Jun 19 2020,3
South Dakota,Jun 18 2020,0
South Dakota,Jun 17 2020,1
South Dakota,Jun 16 2020,2
South Dakota,Jun 15 2020,0
South Dakota,Jun 14 2020,0
South Dakota,Jun 13 2020,1
South Dakota,Jun 12 2020,1
South Dakota,Jun 11 2020,4
South Dakota,Jun 10 2020,1
South Dakota,Jun  9 2020,3
South Dakota,Jun  8 2020,0
South Dakota,Jun  7 2020,0
South Dakota,Jun  6 2020,0
South Dakota,Jun  5 2020,1
South Dakota,Jun  4 2020,2
South Dakota,Jun  3 2020,0
South Dakota,Jun  2 2020,0
South Dakota,Jun  1 2020,0
South Dakota,May 31 2020,0
South Dakota,May 30 2020,3
South Dakota,May 29 2020,5
South Dakota,May 28 2020,0
South Dakota,May 27 2020,4
South Dakota,May 26 2020,0
South Dakota,May 25 2020,0
South Dakota,May 24 2020,0
South Dakota,May 23 2020,0
South Dakota,May 22 2020,2
South Dakota,May 21 2020,2
South Dakota,May 20 2020,0
South Dakota,May 19 2020,2
South Dakota,May 18 2020,0
South Dakota,May 17 2020,0
South Dakota,May 16 2020,0
South Dakota,May 15 2020,1
South Dakota,May 14 2020,4
South Dakota,May 13 2020,0
South Dakota,May 12 2020,5
South Dakota,May 11 2020,0
South Dakota,May 10 2020,0
South Dakota,May  9 2020,3
South Dakota,May  8 2020,0
South Dakota,May  7 2020,2
South Dakota,May  6 2020,5
South Dakota,May  5 2020,3
South Dakota,May  4 2020,0
South Dakota,May  3 2020,0
South Dakota,May  2 2020,0
South Dakota,May  1 2020,4
South Dakota,Apr 30 2020,4
South Dakota,Apr 29 2020,2
South Dakota,Apr 28 2020,0
South Dakota,Apr 27 2020,0
South Dakota,Apr 26 2020,1
South Dakota,Apr 25 2020,0
South Dakota,Apr 24 2020,1
South Dakota,Apr 23 2020,0
South Dakota,Apr 22 2020,1
South Dakota,Apr 21 2020,1
South Dakota,Apr 20 2020,0
South Dakota,Apr 19 2020,0
South Dakota,Apr 18 2020,0
South Dakota,Apr 17 2020,0
South Dakota,Apr 16 2020,1
South Dakota,Apr 15 2020,0
South Dakota,Apr 14 2020,0
